Time,Source Balance,Environment Balance
1716660283100,999.9999999999803,1.0224257175449683e-11
,,
1716660284101,999.9999999999802,1.028328773003985e-11
,,
1716660285102,999.9999999999801,1.0342318284630015e-11
,,
1716660286108,999.99999999998,1.0401643697135218e-11
,,
1716660287110,999.9999999999799,1.0460733223308391e-11
,,
1716660288112,999.9999999999798,1.0519822749481564e-11
,,
1716660289114,999.9999999999797,1.0578912275654736e-11
,,
1716660290116,999.9999999999795,1.0638001801827909e-11
,,1716660291120,999.9999999999794,1.0697209271167097e-11
,,
1716660292121,999.9999999999793,1.0756239825757263e-11
,,
1716660293123,999.9999999999792,1.0815329351930436e-11
,,
1716660294124,999.9999999999791,1.0874359906520602e-11
,,
1716660295124,999.999999999979,1.0933331489527761e-11
,,
1716660296125,999.9999999999789,1.0992362044117927e-11
,,
1716660297127,999.9999999999787,1.10514515702911e-11
,,
1716660298128,999.9999999999786,1.1110482124881266e-11
,,
1716660299130,999.9999999999785,1.1169571651054439e-11
,,
1716660300131,999.9999999999784,1.1228602205644605e-11
,,1716660301138,999.9999999999783,1.1287986589732814e-11
,,
1716660302139,999.9999999999782,1.134701714432298e-11
,,
1716660303141,999.9999999999781,1.1406106670496153e-11
,,
1716660304142,999.999999999978,1.146513722508632e-11
,,
1716660305144,999.9999999999778,1.1524226751259492e-11
,,
1716660306146,999.9999999999777,1.1583316277432665e-11
,,
1716660307147,999.9999999999776,1.1642346832022831e-11
,,
1716660308148,999.9999999999775,1.1701377386612997e-11
,,
1716660309149,999.9999999999774,1.1760407941203163e-11
,,
1716660310151,999.9999999999773,1.1819497467376336e-11
,,1716660311157,999.9999999999771,1.1878822879881537e-11
,,
1716660312158,999.999999999977,1.1937853434471703e-11
,,
1716660313160,999.9999999999769,1.1996942960644876e-11
,,
1716660314162,999.9999999999768,1.2056032486818049e-11
,,
1716660315163,999.9999999999767,1.2115063041408213e-11
,,
1716660316165,999.9999999999766,1.2174152567581386e-11
,,
1716660317167,999.9999999999765,1.2233242093754559e-11
,,
1716660318168,999.9999999999764,1.2292272648344723e-11
,,
1716660319170,999.9999999999762,1.2351362174517896e-11
,,
1716660320171,999.9999999999761,1.241039272910806e-11
,,1716660321178,999.999999999976,1.2469777113196268e-11
,,
1716660322179,999.9999999999759,1.2528807667786433e-11
,,
1716660323181,999.9999999999758,1.2587897193959605e-11
,,
1716660324182,999.9999999999757,1.264692774854977e-11
,,
1716660325184,999.9999999999756,1.2706017274722943e-11
,,
1716660326185,999.9999999999754,1.2765047829313107e-11
,,
1716660327187,999.9999999999753,1.282413735548628e-11
,,
1716660328189,999.9999999999752,1.2883226881659453e-11
,,
1716660329191,999.9999999999751,1.2942316407832625e-11
,,
1716660330192,999.999999999975,1.300134696242279e-11
,,1716660331199,999.9999999999749,1.3060731346510998e-11
,,
1716660332201,999.9999999999748,1.3119820872684169e-11
,,
1716660333202,999.9999999999746,1.3178851427274333e-11
,,
1716660334204,999.9999999999745,1.3237940953447504e-11
,,
1716660335205,999.9999999999744,1.3296971508037669e-11
,,
1716660336206,999.9999999999743,1.3356002062627833e-11
,,
1716660337207,999.9999999999742,1.3415032617217998e-11
,,
1716660338208,999.9999999999741,1.3474063171808162e-11
,,
1716660339210,999.999999999974,1.3533152697981333e-11
,,
1716660340212,999.9999999999739,1.3592242224154505e-11
,,1716660341217,999.9999999999737,1.3651508665076697e-11
,,
1716660342219,999.9999999999736,1.3710598191249869e-11
,,
1716660343220,999.9999999999735,1.3769628745840033e-11
,,
1716660344222,999.9999999999734,1.3828718272013204e-11
,,
1716660345222,999.9999999999733,1.3887689855020362e-11
,,
1716660346225,999.9999999999732,1.394683835277654e-11
,,
1716660347227,999.999999999973,1.4005927878949711e-11
,,
1716660348229,999.9999999999729,1.4065017405122882e-11
,,
1716660349231,999.9999999999728,1.4124106931296053e-11
,,
1716660350232,999.9999999999727,1.4183137485886218e-11
,,1716660351237,999.9999999999726,1.424240392680841e-11
,,
1716660352238,999.9999999999725,1.4301434481398575e-11
,,
1716660353240,999.9999999999724,1.4360524007571746e-11
,,
1716660354241,999.9999999999723,1.441955456216191e-11
,,
1716660355242,999.9999999999721,1.4478585116752075e-11
,,
1716660356244,999.999999999972,1.4537674642925246e-11
,,
1716660357245,999.9999999999719,1.459670519751541e-11
,,
1716660358247,999.9999999999718,1.465579472368858e-11
,,
1716660359248,999.9999999999717,1.471482527827874e-11
,,
1716660360249,999.9999999999716,1.4773855832868904e-11
,,1716660361256,999.9999999999715,1.483324021695711e-11
,,
1716660362258,999.9999999999714,1.489232974313028e-11
,,
1716660363259,999.9999999999712,1.4951360297720443e-11
,,
1716660364261,999.9999999999711,1.5010449823893612e-11
,,
1716660365262,999.999999999971,1.5069480378483775e-11
,,
1716660366264,999.9999999999709,1.5128569904656945e-11
,,
